file,family,size_bytes,rows,columns,schema_id,null_cells,null_counts
data/raw/rent/202002/26170.parquet,raw/rent,18616,163,27,f9ddc1e469,90,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":90,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202002/26200.parquet,raw/rent,17929,72,27,f9ddc1e469,0,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":0,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202002/26230.parquet,raw/rent,35767,721,27,f9ddc1e469,40,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":40,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202002/26260.parquet,raw/rent,28312,430,27,f9ddc1e469,39,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":39,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202002/26290.parquet,raw/rent,25668,359,27,f9ddc1e469,14,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":14,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202002/26320.parquet,raw/rent,24315,356,27,f9ddc1e469,34,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":34,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202002/26350.parquet,raw/rent,33336,743,27,f9ddc1e469,10,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":10,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202002/26380.parquet,raw/rent,25046,326,27,f9ddc1e469,9,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":9,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202002/26410.parquet,raw/rent,23550,246,27,f9ddc1e469,6,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":6,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202002/26440.parquet,raw/rent,22525,483,27,f9ddc1e469,9,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":9,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202002/26470.parquet,raw/rent,24999,342,27,f9ddc1e469,18,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":18,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
