internal_complex_id,complex_name,sigungu,dong,households,approval_date,apartment_age,parking_total,parking_per_household,transactions_3m,transactions_6m,transactions_12m,area_variety,latitude,longitude,road_address,provisional,turnover_12m,price_84,price_84_per_3_3sqm,price_change_3m,price_change_6m,price_change_12m,rolling_peak,drawdown_from_peak,rolling_trough,recovery_from_trough,sample_count,low_sample_flag
A61480908,동원화인패밀리,부산진구,개금동,894.0,1995-10-24,30,955.0,1.0682326621923937,6.0,13.0,28.0,3,35.1639281330622,129.02850740693,부산광역시 부산진구 백양관문로77번길 55,True,0.03131991051454139,179000000.0,6951047.305248293,-0.050397877984084904,-0.05208333333333337,-0.015957446808510634,256000000.0,-0.3046875,170800000.0,0.042154566744730726,9.0,False
A61481004,우성,부산진구,개금동,360.0,1989-09-01,37,325.0,0.9027777777777778,0.0,1.0,7.0,2,35.1617215116749,129.028788499808,부산광역시 부산진구 백양대로208번길 38-25,True,0.019444444444444445,,,,,,,,,,,
A61481005,개금주공1,부산진구,개금동,380.0,1987-01-20,39,130.0,0.34210526315789475,0.0,4.0,13.0,1,35.1594857551659,129.025642105969,부산광역시 부산진구 백양대로208번길 25,True,0.034210526315789476,,,,,,,,,,,
A61481111,엘지신개금(2-1),부산진구,개금동,2510.0,1998-11-02,27,2681.0,1.0681274900398405,15.0,23.0,61.0,4,35.1550481097082,129.019243033247,부산광역시 부산진구 백양대로300번길 20,True,0.024302788844621514,349000000.0,13551006.000705965,0.01013024602026058,-0.008571428571428563,0.05454545454545445,497000000.0,-0.2907444668008048,284000000.0,0.2411971830985915,9.0,False
A61481301,성원쌍떼뷰,부산진구,개금동,231.0,2004-04-14,22,240.0,1.0389610389610389,0.0,1.0,7.0,4,35.153770988473,129.024672295072,부산광역시 부산진구 개금온정로 5,True,0.030303030303030304,,,,,,295000000.0,-0.06101694915254241,215000000.0,0.28837209302325584,0.0,True
A61481501,대동,부산진구,개금동,246.0,1999-04-22,27,252.0,1.024390243902439,2.0,2.0,4.0,5,35.1430906580759,129.020955598837,부산광역시 부산진구 진사로89번길 73,True,0.016260162601626018,,,,,,178000000.0,-0.005617977528089901,169000000.0,0.047337278106508895,0.0,True
A61481601,벽산블루밍,부산진구,당감동,436.0,2006-04-18,20,443.0,1.0160550458715596,3.0,7.0,17.0,1,35.1583026129361,129.040329630606,부산광역시 부산진구 마철로 98,True,0.0389908256880734,358750000.0,13966114.466769574,0.06296296296296289,0.07827476038338665,-0.012307692307692353,457000000.0,-0.29759299781181614,240000000.0,0.3374999999999999,7.0,False
A61482201,동원타워,부산진구,당감동,240.0,1992-07-23,34,99.0,0.4125,2.0,3.0,5.0,2,35.1675575229994,129.048153270731,부산광역시 부산진구 동평로181번길 18,True,0.020833333333333332,155000000.0,6027574.829130333,,-0.14364640883977897,-0.06666666666666665,215000000.0,-0.3069767441860465,149000000.0,0.0,2.0,True
A61482207,개금주공3단지,부산진구,당감동,2716.0,1989-06-01,37,1091.0,0.4016936671575847,12.0,24.0,61.0,4,35.1613968466179,129.032430795113,부산광역시 부산진구 백양관문로 10,True,0.022459499263622975,,,,,,,,,,,
A61482301,태우선파크,부산진구,당감동,214.0,1994-02-07,32,160.0,0.7476635514018691,0.0,0.0,2.0,5,35.1672044212645,129.03214042881,부산광역시 부산진구 백양순환로35번길 43,True,0.009345794392523364,,,,,0.03337142857142861,235000000.0,-0.23046808510638295,169000000.0,0.07005917159763309,0.0,True
A61482302,"백양뜨란채,주공아파트(1단지)",부산진구,당감동,851.0,1999-07-21,27,594.0,0.6980023501762632,3.0,14.0,35.0,2,35.1711519461034,129.026345604739,부산광역시 부산진구 백양산로53번길 125,True,0.041128084606345476,,,,,-0.14,290000000.0,-0.2068965517241379,200000000.0,0.1499999999999999,0.0,True
A61482303,백양푸른채,부산진구,당감동,1116.0,1999-11-27,26,735.0,0.6586021505376344,4.0,15.0,41.0,3,35.1720654213412,129.027516045706,부산광역시 부산진구 백양산로53번길 62,True,0.036738351254480286,,,,,,280000000.0,0.0,237500000.0,0.17894736842105252,0.0,True
A61482803,대원아파트,부산진구,범천동,315.0,1986-11-22,39,186.0,0.5904761904761905,1.0,2.0,6.0,4,35.1463128535322,129.062030820175,부산광역시 부산진구 황령대로18번길 43,True,0.01904761904761905,,,,0.005025125628140614,-0.050000000000000044,660000000.0,-0.3939393939393939,330000000.0,0.21212121212121215,1.0,True
A61483201,대우디오빌1,부산진구,범천동,405.0,2004-10-15,21,161.0,0.39753086419753086,1.0,1.0,8.0,1,35.1567018053223,129.049715595385,부산광역시 부산진구 가야대로 714,True,0.019753086419753086,,,,,,,,,,,
A61483202,서면이-편한세상,부산진구,범천동,623.0,2006-12-27,19,961.0,1.5425361155698234,5.0,12.0,27.0,3,35.1564058760801,129.048580378752,부산광역시 부산진구 가야대로 702,True,0.04333868378812199,464000000.0,18032149.796855677,0.015317286652078765,-0.05463917525773199,-0.00513652338469861,606500000.0,-0.15910964550700746,350000000.0,0.4571428571428571,9.0,False
A61483301,서면항도타워맨션,부산진구,범천동,188.0,1994-05-16,32,151.0,0.8031914893617021,0.0,0.0,1.0,3,35.148299025333,129.054245137096,부산광역시 부산진구 신암로 72,True,0.005319148936170213,,,,,,300000000.0,-0.2666666666666667,200000000.0,0.10000000000000009,0.0,True
A61483503,일동미라주,부산진구,부암동,294.0,2007-03-30,19,367.0,1.248299319727891,2.0,2.0,5.0,2,35.1690653273854,129.051827406434,부산광역시 부산진구 동평로 218,True,0.017006802721088437,403500000.0,15677929.494768117,,0.07029177718832891,-0.06748466257668717,490000000.0,-0.17653061224489797,314500000.0,0.2829888712241653,2.0,True
A61483601,메리움,부산진구,부암동,260.0,1998-12-26,27,276.0,1.0615384615384615,1.0,2.0,9.0,3,35.1638104545377,129.050961104127,부산광역시 부산진구 신천대로 246,True,0.03461538461538462,279000000.0,10843245.78965964,,0.04104477611940305,0.026266416510319024,310000000.0,-0.09999999999999998,230000000.0,0.21304347826086967,1.0,True
A61483604,서면쌍용스윗닷홈파크,부산진구,부암동,296.0,2007-07-20,19,393.0,1.3277027027027026,3.0,6.0,16.0,2,35.1614234305728,129.051329563762,부산광역시 부산진구 신천대로220번길 31,True,0.05405405405405406,337000000.0,13094312.963617096,0.015060240963855387,0.04531250000000009,0.0007535795026374359,445000000.0,-0.24269662921348312,288000000.0,0.17013888888888884,3.0,False
A61483802,럭키무지개타운,부산진구,부암동,294.0,1989-09-02,37,179.0,0.608843537414966,0.0,0.0,2.0,4,35.1667839334845,129.049997734339,부산광역시 부산진구 신천대로 279,True,0.006802721088435374,,,,,,290000000.0,0.0,210000000.0,0.38095238095238093,0.0,True
