internal_complex_id,complex_name,sigungu,dong,households,approval_date,apartment_age,parking_total,parking_per_household,transactions_3m,transactions_6m,transactions_12m,area_variety,latitude,longitude,road_address,provisional,turnover_12m,price_84,price_84_per_3_3sqm,price_change_3m,price_change_6m,price_change_12m,rolling_peak,drawdown_from_peak,rolling_trough,recovery_from_trough,sample_count,low_sample_flag,p_households,p_turnover,p_price_84,p_area_variety,representative_score,scope,rank
A61776104,반도보라,사상구,주례동,1206.0,1996-09-25,29,1133.0,0.939469320066335,9.0,17.0,38.0,4,35.1550766261996,129.013063989359,부산광역시 사상구 백양대로 372-22,True,0.03150912106135987,208500000.0,8095658.312742677,-0.005959475566150174,0.01090909090909098,-0.0324825986078886,285000000.0,-0.3929824561403509,173000000.0,0.0,8.0,False,0.9545454545454546,0.8181818181818182,0.5555555555555556,0.926829268292683,0.8097314609509733,dong,2.0
A61776509,롯데캐슬,사상구,엄궁동,1852.0,2010-05-27,16,2675.0,1.4443844492440605,7.0,15.0,40.0,5,35.1277999596243,128.974847188702,부산광역시 사상구 엄궁북로 62,True,0.02159827213822894,360000000.0,13978246.647809368,0.10599078341013835,-0.07364864864864862,-0.01683501683501687,460000000.0,-0.3152173913043478,287750000.0,0.09470026064291925,5.0,False,1.0,0.5,1.0,1.0,0.85,dong,1.0
A61776710,엄궁2차한신,사상구,엄궁동,1016.0,1999-08-31,27,1064.0,1.047244094488189,11.0,19.0,31.0,4,35.1245195206599,128.96924125613,부산광역시 사상구 엄궁로 40,True,0.03051181102362205,180000000.0,6996466.431095406,-0.25,-0.08695652173913049,0.045454545454545414,284000000.0,-0.3661971830985915,180000000.0,0.0,2.0,True,0.8333333333333334,0.9166666666666666,0.4,0.9166666666666666,0.7624999999999998,dong,2.0
A61776811,코오롱,사상구,엄궁동,1158.0,1999-06-24,27,1167.0,1.0077720207253886,3.0,13.0,29.0,4,35.1260767796699,128.978290411866,부산광역시 사상구 엄궁로 142,True,0.025043177892918825,,,,-0.08382066276803124,-0.004081632653061273,290000000.0,-0.2068965517241379,203250000.0,0.13161131611316113,2.0,True,0.9166666666666666,0.8333333333333334,,0.9166666666666666,0.6624999999999999,dong,4.0
A61777312,반도보라타운,사상구,학장동,998.0,1994-08-29,32,945.0,0.9468937875751503,15.0,20.0,22.0,3,35.137291276807,128.979171839774,부산광역시 사상구 대동로 98,True,0.022044088176352707,198500000.0,7715547.703180211,0.05585106382978733,,-0.04685573366214546,250000000.0,-0.20599999999999996,150000000.0,0.32333333333333325,8.0,False,0.875,0.6875,0.42857142857142855,0.775,0.6921428571428571,dong,4.0
A61777411,학장동삼정그린코아아파트,사상구,학장동,511.0,2014-04-28,12,509.0,0.9960861056751468,5.0,10.0,17.0,3,35.1409900883449,128.985036725874,부산광역시 사상구 학감대로123번길 67,True,0.033268101761252444,400000000.0,15538314.304784035,,,,426000000.0,-0.06103286384976525,350000000.0,0.1428571428571428,1.0,True,0.4375,0.875,1.0,0.775,0.76,dong,2.0
A61777803,1차삼성,사상구,학장동,416.0,1997-11-11,28,282.0,0.6778846153846154,4.0,9.0,14.0,3,35.1389251389142,128.983649692946,부산광역시 사상구 대동로 148-29,True,0.03365384615384615,200000000.0,7765619.484645252,0.05263157894736836,,0.1206896551724137,245000000.0,-0.18367346938775508,150000000.0,0.33333333333333326,2.0,True,0.3125,0.9375,0.5714285714285714,0.775,0.6341071428571428,dong,5.0
A61777806,학장동2차삼성,사상구,학장동,549.0,1999-02-03,27,560.0,1.0200364298724955,2.0,7.0,15.0,3,35.140493632359,128.98369423114,부산광역시 사상구 학감대로123번길 75,True,0.0273224043715847,230000000.0,8929831.992093746,0.09523809523809534,-0.12871287128712872,-0.12176414189837004,289500000.0,-0.20552677029360966,135000000.0,0.7037037037037037,3.0,False,0.5625,0.8125,0.7142857142857143,0.775,0.7073214285714285,dong,3.0
A61777903,덕포경동메르빌,사상구,덕포동,517.0,2013-06-25,13,577.0,1.11605415860735,7.0,12.0,22.0,2,35.1709535797598,128.990175265967,부산광역시 사상구 덕상로 8-37,True,0.0425531914893617,267500000.0,10800249.739966191,-0.011090573012939031,-0.009191176470588203,0.011257035647279645,325000000.0,-0.18461538461538463,240000000.0,0.10416666666666674,5.0,False,0.8461538461538461,0.8461538461538461,0.6,0.3888888888888889,0.716025641025641,dong,2.0
A61778201,동양한신,사상구,삼락동,431.0,1995-03-25,31,288.0,0.6682134570765661,2.0,7.0,11.0,4,35.1695341741381,128.980069554123,부산광역시 사상구 운산로 25,True,0.025522041763341066,,,,,-0.048979591836734726,329000000.0,-0.29179331306990886,233000000.0,0.0,1.0,True,1.0,1.0,,1.0,0.75,dong,1.0
