sigungu,dong,complex_count,households,transactions_12m,turnover_12m,median_age,median_84_price,change_6m,change_12m,drawdown
영도구,남항동3가,5,,7.0,,,135000000.0,,-0.07534246575342463,-0.2
영도구,대교동1가,5,115.0,7.0,0.06086956521739131,6.0,,,,
영도구,대교동2가,9,,6.0,,,,,,-0.10869565217391303
영도구,대평동1가,4,462.0,3.0,0.006493506493506494,46.0,290000000.0,0.15999999999999992,-0.13714285714285712,-0.3136363636363636
영도구,동삼동,51,10820.0,351.0,0.03243992606284658,31.0,181500000.0,0.01754385964912286,-0.01446226351863289,-0.12568149210903873
영도구,봉래동1가,3,,10.0,,,,,0.08295964125560529,-0.04523552123552127
영도구,봉래동2가,8,676.0,12.0,0.01775147928994083,34.0,,-0.01849217638691325,0.030169242089771897,-0.09185022026431716
영도구,봉래동3가,7,,9.0,,,,,-0.07023809523809527,-0.03529411764705881
영도구,봉래동4가,3,1526.0,58.0,0.03800786369593709,17.0,469500000.0,-0.03457800511508946,-0.03623188405797101,-0.021739130434782594
영도구,봉래동5가,6,,6.0,,,,,,0.0
영도구,신선동2가,3,209.0,5.0,0.023923444976076555,32.0,,,-0.3548387096774194,-0.4117647058823529
영도구,신선동3가,1,,0.0,,,,,,
영도구,영선동1가,4,,1.0,,,,,,0.0
영도구,영선동2가,7,416.0,15.0,0.036057692307692304,21.0,,-0.034653465346534684,0.03076923076923066,-0.12863070539419086
영도구,영선동3가,6,,2.0,,,,,,0.0
영도구,영선동4가,6,1316.0,23.0,0.017477203647416412,30.5,,,,-0.18563685636856364
영도구,청학동,28,3245.0,101.0,0.031124807395993836,22.0,179000000.0,-0.04180064308681675,0.0014836795252226587,-0.19077568134171907
중구,대창동1가,4,144.0,2.0,0.013888888888888888,53.0,,,,0.0
중구,대청동1가,1,269.0,10.0,0.03717472118959108,12.0,,,,
중구,대청동2가,1,,1.0,,,,,,-0.13888888888888884
중구,대청동4가,13,131.0,6.0,0.04580152671755725,45.0,230000000.0,-0.017094017094017144,-0.2068965517241379,-0.2532461286909686
중구,동광동5가,2,120.0,2.0,0.016666666666666666,45.0,,,,-0.10810810810810811
중구,보수동1가,5,140.0,6.0,0.04285714285714286,31.0,,,,-0.049090909090909074
중구,보수동2가,10,,16.0,,,308000000.0,,-0.023820649755229184,-0.06666666666666665
중구,보수동3가,11,,19.0,,,,,,0.0
중구,부평동2가,3,,2.0,,,,,,
중구,부평동4가,11,,17.0,,,185000000.0,-0.02631578947368418,,-0.04181184668989546
중구,신창동1가,1,,0.0,,,,,,
중구,신창동2가,1,,1.0,,,,,,
중구,영주동,17,1067.0,30.0,0.028116213683223992,27.0,213750000.0,-0.08419243986254299,-0.003984063745019917,-0.13793103448275867
중구,중앙동4가,3,120.0,5.0,0.041666666666666664,5.0,,,,
해운대구,반송동,19,4221.0,128.0,0.030324567638000476,29.0,200000000.0,0.0393094289508632,-0.01004593371005591,-0.17345979663334188
해운대구,반여동,38,18830.0,678.0,0.036006372809346786,30.0,332500000.0,-0.00280203614626634,-0.00216666666666665,-0.35315985130111527
해운대구,송정동,34,637.0,51.0,0.08006279434850863,9.0,258000000.0,0.025882352941176467,-0.025000000000000022,-0.15217391304347827
해운대구,우동,67,25149.0,966.0,0.03841107002266492,20.0,732500000.0,0.010887052341597814,0.05305039787798416,-0.21380952380952378
해운대구,재송동,73,16096.0,661.0,0.04106610337972167,30.5,403500000.0,0.001160092807424573,0.06235119047619042,-0.15143288084464557
해운대구,좌동,41,30523.0,1230.0,0.04029748058840874,29.0,560000000.0,0.05160429342927553,0.07207177449850333,-0.16455696202531644
해운대구,중동,100,10898.0,465.0,0.04266837951917783,18.0,630000000.0,0.025234675055589184,0.047368421052631504,-0.17979911215863298
