internal_complex_id,complex_name,sigungu,dong,households,approval_date,apartment_age,parking_total,parking_per_household,transactions_3m,transactions_6m,transactions_12m,area_variety,latitude,longitude,road_address,provisional,turnover_12m,price_84,price_84_per_3_3sqm,price_change_3m,price_change_6m,price_change_12m,rolling_peak,drawdown_from_peak,rolling_trough,recovery_from_trough,sample_count,low_sample_flag,discount_vs_dong_mean,watch_label
A60476604,다대코오롱맨션,사하구,다대동,520.0,1988-07-25,38,190.0,0.36538461538461536,1.0,2.0,8.0,4,35.064090656245,128.98184158244,부산광역시 사하구 다송로 36,True,0.015384615384615385,,,,,,325000000.0,0.0,244500000.0,0.3292433537832311,0.0,True,,데이터 기반 노후단지
A60476805,현대,사하구,신평동,992.0,1994-12-17,31,877.0,0.8840725806451613,4.0,17.0,33.0,2,35.0938469892527,128.96428483733,부산광역시 사하구 하신중앙로 170,True,0.03326612903225806,212500000.0,8331289.948020941,-0.03409090909090906,0.041162227602905554,-0.05555555555555558,305000000.0,-0.30327868852459017,180000000.0,0.18055555555555558,12.0,False,0.24908155767817775,데이터 기반 노후단지
A60476911,강남,사하구,장림동,447.0,1992-06-30,34,294.0,0.6577181208053692,5.0,6.0,11.0,2,35.0713714020767,128.970294090814,부산광역시 사하구 장평로41번길 61,True,0.024608501118568233,103125000.0,4006697.6689895326,-0.140625,0.03333333333333344,0.015538290788013276,145000000.0,-0.19827586206896552,90000000.0,0.29166666666666674,4.0,False,-0.10601408705074955,데이터 기반 노후단지
A60477013,극동정림,사하구,장림동,472.0,1995-12-20,30,355.0,0.7521186440677966,4.0,10.0,22.0,4,35.0726356792876,128.977617040664,부산광역시 사하구 다대로 339,True,0.046610169491525424,132000000.0,5127118.644067797,-0.06382978723404253,0.050000000000000044,-0.018587360594795488,164000000.0,-0.19512195121951215,122000000.0,0.08196721311475419,5.0,False,0.14430196857504063,데이터 기반 노후단지
A60477315,장림현대(372-4),사하구,장림동,828.0,1989-10-20,36,618.0,0.7463768115942029,1.0,1.0,3.0,3,35.0736843186045,128.97719060866,부산광역시 사하구 다대로 301,True,0.0036231884057971015,,,,,,300000000.0,-0.4,158000000.0,0.139240506329114,0.0,True,,데이터 기반 노후단지
A60477608,장림삼경아파트,사하구,장림동,298.0,1993-04-03,33,143.0,0.4798657718120805,2.0,5.0,11.0,3,35.0769514166666,128.982580602208,부산광역시 사하구 다대로277번길 141,True,0.03691275167785235,,,,,,111000000.0,-0.29729729729729726,77000000.0,0.01298701298701288,0.0,True,,데이터 기반 노후단지
A60478201,감천현대,사하구,감천동,200.0,1994-10-29,31,121.0,0.605,1.0,2.0,7.0,4,35.0902534268192,128.9962495497,부산광역시 사하구 감천로 38,True,0.035,,,,,-0.14634146341463417,235000000.0,-0.25531914893617025,174500000.0,0.002865329512893977,0.0,True,,데이터 기반 노후단지
A60478203,감천백산,사하구,감천동,224.0,1995-12-19,30,154.0,0.6875,2.0,3.0,6.0,3,35.0905945623474,128.995825878518,부산광역시 사하구 감천로 32,True,0.026785714285714284,,,,,,185000000.0,-0.08108108108108103,158000000.0,0.07594936708860756,0.0,True,,데이터 기반 노후단지
A60480405,남성한빛가든,사하구,감천동,307.0,1995-10-20,30,230.0,0.749185667752443,2.0,4.0,6.0,2,35.0841873393999,129.009516574052,부산광역시 사하구 감천로 175,True,0.019543973941368076,155000000.0,6028995.756718528,0.03333333333333344,,-0.1432584269662921,217000000.0,-0.2857142857142857,150000000.0,0.03333333333333344,3.0,False,0.0,데이터 기반 노후단지
A60480703,벽산하이츠타운,사하구,괴정동,299.0,1995-11-13,30,221.0,0.7391304347826086,0.0,3.0,5.0,3,35.1008676181434,129.003917768296,부산광역시 사하구 오작로 104,True,0.016722408026755852,,,,-0.3730407523510971,0.0033444816053511683,191500000.0,-0.4778067885117493,100000000.0,0.0,1.0,True,,데이터 기반 노후단지
